age,education,black,hispanic,married,nodegree,re74,re75,u74,u75,t,y
27,12,1,0,1,0,10775.966796875,8951.61328125,0,0,0,7536.4052734375
21,12,0,0,1,0,16306.9775390625,18529.83984375,0,0,0,11969.5849609375
21,11,1,0,0,1,0.0,9846.7744140625,1,0,0,5615.36083984375
28,17,0,0,1,0,29389.001953125,21483.87109375,0,0,0,19210.4453125
38,11,1,0,0,1,0.0,0.0,1,1,1,0.0
35,14,0,0,1,0,23511.201171875,26496.7734375,0,0,0,29554.53125
25,9,1,0,0,1,11755.6005859375,7161.29052734375,0,0,0,6649.76953125
29,8,0,0,1,1,10775.966796875,8951.61328125,0,0,0,9605.22265625
38,10,1,0,1,1,5877.80029296875,0.0,0,1,0,0.0
37,17,0,0,1,0,82289.203125,85040.3203125,0,0,0,110829.4921875
19,12,0,0,1,0,9208.5537109375,5550.0,0,0,0,11526.2666015625
36,12,0,0,1,0,33307.53515625,33120.96875,0,0,0,33987.7109375
21,11,0,0,1,1,16653.767578125,13427.4189453125,0,0,0,10344.0859375
49,6,0,0,1,1,25274.54296875,21841.935546875,0,0,0,29111.21484375
26,12,1,0,1,0,15411.5927734375,8951.61328125,0,0,0,11082.94921875
19,6,1,0,0,1,3526.68017578125,0.0,0,1,0,0.0
23,11,1,0,1,1,15674.1337890625,8414.515625,0,0,0,8866.359375
42,9,0,0,1,1,33221.328125,32225.806640625,0,0,0,33987.7109375
52,7,1,0,0,1,293.890014648438,5012.9033203125,0,0,0,0.0
40,17,0,1,1,0,39185.3359375,41177.41796875,0,0,0,33987.7109375
18,12,0,0,1,0,3134.82690429688,11100.0,0,0,0,20688.171875
37,12,0,0,1,0,15674.1337890625,8951.61328125,0,0,0,28076.8046875
55,11,0,0,1,1,36638.2890625,37417.7421875,0,0,0,32177.49609375
27,16,0,0,1,0,33307.53515625,30435.484375,0,0,0,0.0
22,14,0,0,1,0,19727.857421875,20141.12890625,0,0,0,22284.1171875
34,12,1,0,1,0,19788.595703125,23274.193359375,0,0,0,31032.2578125
24,12,0,0,1,0,17633.400390625,18440.322265625,0,0,0,19949.30859375
25,13,0,0,1,0,25470.46875,18798.38671875,0,0,0,23643.625
31,8,0,0,1,1,11167.8212890625,19335.484375,0,0,0,20688.171875
49,16,0,0,1,0,94044.8046875,98467.7421875,0,0,0,73886.328125
28,17,0,0,1,0,13714.8681640625,13427.4189453125,0,0,0,6827.0966796875
24,12,1,0,0,0,3330.75366210938,4654.8388671875,0,0,0,11821.8134765625
21,10,0,0,1,1,15674.1337890625,16112.9033203125,0,0,0,20141.412109375
48,16,0,0,1,0,23511.201171875,23274.193359375,0,0,0,39898.6171875
21,9,1,0,0,1,0.0,0.0,1,1,1,0.0
27,10,0,1,0,1,0.0,0.0,1,1,1,11142.8701171875
25,12,0,0,1,0,8816.7001953125,16112.9033203125,0,0,0,26599.078125
49,12,0,0,1,0,10231.291015625,11082.0966796875,0,0,0,6537.46240234375
24,12,0,0,1,0,14890.427734375,719.709655761719,0,0,0,27963.01953125
17,10,1,0,0,1,0.0,0.0,1,1,1,0.0
20,12,0,0,1,0,13244.6435546875,8772.5810546875,0,0,0,17289.400390625
31,12,0,0,1,0,0.0,17903.2265625,1,0,0,0.0
27,12,0,1,1,0,14694.5009765625,16829.03125,0,0,0,37829.80078125
48,8,1,0,1,1,16261.9140625,11637.0966796875,0,0,0,5172.04296875
31,17,0,0,1,0,23903.0546875,25601.61328125,0,0,0,27042.396484375
46,7,0,0,1,1,15674.1337890625,14680.64453125,0,0,0,9605.22265625
28,12,1,0,1,0,12735.234375,19693.548828125,0,0,0,17732.71875
32,11,1,0,0,1,0.0,0.0,1,1,1,8472.158203125
27,17,0,0,1,0,24098.982421875,22200.0,0,0,0,25860.21484375
23,12,0,0,1,0,16065.98828125,4833.87109375,0,0,0,25564.669921875
24,14,0,0,0,0,20572.30078125,11637.0966796875,0,0,0,12412.9033203125
20,12,1,0,0,0,1367.56823730469,12532.2578125,0,0,0,2955.453125
52,12,0,0,0,0,31348.26953125,32225.806640625,0,0,0,32509.984375
17,9,1,0,0,1,0.0,0.0,1,1,1,0.0
40,10,0,0,1,1,14302.6484375,24169.35546875,0,0,0,21427.03515625
27,13,1,0,0,0,0.0,0.0,1,1,1,34099.28125
22,12,1,0,1,0,2006.28918457031,2470.64526367188,0,0,0,0.0
39,12,0,0,1,0,21138.529296875,20366.7109375,0,0,0,15049.1669921875
45,12,0,0,1,0,0.0,0.0,1,1,0,22165.8984375
32,16,0,0,1,0,0.0,0.0,1,1,0,0.0
26,13,0,1,1,0,21953.5859375,5671.74169921875,0,0,0,25860.21484375
19,8,0,0,1,1,14694.5009765625,12532.2578125,0,0,0,18539.55859375
25,10,1,0,0,1,2838.9775390625,5370.9677734375,0,0,0,11437.603515625
22,13,0,0,1,0,15870.060546875,15826.4521484375,0,0,0,35465.4375
26,12,0,0,1,0,21551.935546875,15217.7421875,0,0,0,26599.078125
53,12,0,0,1,0,47649.3671875,47894.7109375,0,0,0,50242.703125
39,12,0,0,1,0,39185.3359375,24169.35546875,0,0,0,23643.625
31,16,0,0,1,0,21551.935546875,18798.38671875,0,0,0,23348.080078125
28,11,0,0,1,1,0.0,62661.2890625,1,0,0,118218.1328125
47,8,1,0,1,1,16301.099609375,17129.806640625,0,0,0,17732.71875
30,12,0,0,1,0,1959.26684570312,1790.32263183594,0,0,0,1477.7265625
31,12,1,0,1,0,10188.1865234375,8951.61328125,0,0,0,9605.22265625
30,17,0,0,1,0,0.0,0.0,1,1,0,0.0
26,16,1,0,1,0,13323.013671875,19693.548828125,0,0,0,19934.53125
28,12,0,0,1,0,29389.001953125,41177.41796875,0,0,0,47287.25
29,9,0,0,1,1,14890.427734375,19693.548828125,0,0,0,25860.21484375
31,12,0,0,1,0,27429.734375,22379.03125,0,0,0,0.0
23,12,0,0,1,0,10775.966796875,5370.9677734375,0,0,0,11821.8134765625
40,7,1,0,1,1,8816.7001953125,8951.61328125,0,0,0,11821.8134765625
53,9,1,0,1,1,14945.287109375,13697.7578125,0,0,0,14186.1748046875
33,12,0,0,1,0,12147.4541015625,16112.9033203125,0,0,0,24382.48828125
55,12,0,0,1,0,29100.990234375,26409.048828125,0,0,0,29369.81640625
22,11,0,0,1,1,6802.57421875,1790.32263183594,0,0,0,7388.6328125
51,12,0,0,1,0,43103.87109375,41356.453125,0,0,0,7388.6328125
29,14,0,0,1,0,27429.734375,22099.7421875,0,0,0,29644.673828125
27,12,0,0,0,0,20964.154296875,18440.322265625,0,0,0,23348.080078125
49,10,1,0,1,1,10775.966796875,0.0,0,1,0,5319.81591796875
17,8,1,0,0,1,0.0,0.0,1,1,1,0.0
23,12,0,0,1,0,13714.8681640625,15754.8388671875,0,0,0,24205.16015625
25,11,1,0,0,1,0.0,0.0,1,1,1,0.0
24,12,0,0,1,0,13714.8681640625,13427.4189453125,0,0,0,17732.71875
33,11,0,0,1,1,0.0,0.0,1,1,0,0.0
39,14,0,0,1,0,58778.00390625,57290.32421875,0,0,0,74625.1953125
29,8,0,0,1,1,17633.400390625,16112.9033203125,0,0,0,11821.8134765625
50,12,0,0,1,0,0.0,0.0,1,1,0,0.0
47,17,0,0,1,0,36246.4375,34016.12890625,0,0,0,35465.4375
53,9,0,0,1,1,0.0,0.0,1,1,0,0.0
28,12,1,0,0,0,2938.90014648438,2864.51611328125,0,0,0,0.0
40,5,1,0,1,1,5877.80029296875,5370.9677734375,0,0,0,22165.8984375
24,12,0,0,1,0,29780.85546875,30883.064453125,0,0,0,32509.984375
48,9,0,0,1,1,0.0,0.0,1,1,0,0.0
30,16,0,0,1,0,26450.1015625,28197.580078125,0,0,0,29554.53125
44,11,1,0,0,1,0.0,0.0,1,1,1,0.0
24,12,0,0,1,0,16849.6953125,18619.35546875,0,0,0,25121.3515625
43,12,1,0,1,0,23511.201171875,19421.419921875,0,0,0,13559.619140625
54,2,1,0,1,1,15674.1337890625,16990.16015625,0,0,0,18096.240234375
29,17,0,0,1,0,15674.1337890625,14143.5478515625,0,0,0,25860.21484375
20,9,1,0,0,1,6083.994140625,0.0,0,1,1,8881.6650390625
34,6,0,1,1,1,15478.2080078125,16112.9033203125,0,0,0,16254.9921875
45,14,0,0,1,0,39185.3359375,42538.06640625,0,0,0,36943.1640625
17,8,1,0,0,1,0.0,0.0,1,1,1,8061.48486328125
29,13,1,0,1,0,39185.3359375,37596.7734375,0,0,0,38420.890625
27,9,1,0,1,1,0.0,934.445373535156,1,0,1,1773.42297363281
21,12,0,0,0,0,0.0,0.0,1,1,0,0.0
53,12,0,0,1,0,28213.44140625,26854.83984375,0,0,0,0.0
18,11,1,0,0,1,0.0,0.0,1,1,1,0.0
48,12,0,0,1,0,42124.234375,42967.7421875,0,0,0,36943.1640625
26,17,0,0,1,0,10775.966796875,29182.2578125,0,0,0,35465.4375
45,5,1,0,1,1,0.0,0.0,1,1,1,8546.71484375
30,9,1,0,0,1,1959.26684570312,162.919357299805,0,0,0,16809.140625
41,17,0,0,1,0,54859.46875,52993.546875,0,0,0,50242.703125
30,11,1,0,1,1,9228.146484375,8808.38671875,0,0,0,17881.96875
53,6,1,0,1,1,15674.1337890625,16112.9033203125,0,0,0,9974.654296875
22,11,0,0,1,1,7837.0673828125,13964.515625,0,0,0,15072.810546875
44,12,1,0,1,0,27429.734375,21483.87109375,0,0,0,22609.216796875
35,8,1,0,1,1,13732.0703125,17976.150390625,0,0,1,3786.6279296875
18,10,1,0,0,1,2143.41088867188,1784.27404785156,0,0,1,11141.3896484375
21,12,0,0,0,0,17829.328125,12945.8232421875,0,0,0,26599.078125
21,13,0,0,1,0,15960.1865234375,21483.87109375,0,0,0,14777.265625
26,11,1,0,1,1,0.0,1392.85302734375,1,0,1,1460.35998535156
25,12,1,0,0,0,0.0,0.0,1,1,1,0.0
26,16,0,0,1,0,31348.26953125,28645.16015625,0,0,0,35465.4375
20,11,0,0,1,1,14694.5009765625,17008.064453125,0,0,0,0.0
33,14,0,0,1,0,15674.1337890625,13427.4189453125,0,0,0,13890.6298828125
18,12,0,0,0,0,10775.966796875,14322.5810546875,0,0,0,21427.03515625
27,14,1,0,0,0,19592.66796875,25064.515625,0,0,0,28815.66796875
52,0,0,0,1,1,3134.82690429688,0.0,0,1,0,295.545318603516
23,12,1,0,1,0,19592.66796875,17366.12890625,0,0,0,14777.265625
23,11,0,0,1,1,17045.62109375,11986.2099609375,0,0,0,5910.90625
19,10,0,0,0,1,0.0,5324.10888671875,1,0,1,13829.6201171875
46,12,0,0,1,0,0.0,0.0,1,1,0,0.0
26,16,0,0,1,0,25078.615234375,30793.548828125,0,0,0,36943.1640625
23,12,0,0,1,0,7837.0673828125,8951.61328125,0,0,0,12058.2490234375
43,10,1,0,1,1,3918.53369140625,2148.38720703125,0,0,0,0.0
27,16,0,0,1,0,17241.548828125,24885.484375,0,0,0,22165.8984375
26,17,0,0,1,0,25470.46875,26854.83984375,0,0,0,44331.796875
20,10,1,0,1,1,6857.43359375,6831.87109375,0,0,0,9457.4501953125
32,12,0,0,1,0,54859.46875,39387.09765625,0,0,0,40878.3515625
42,12,1,0,0,0,0.0,0.0,1,1,1,2456.15307617188
35,12,0,0,1,0,25078.615234375,26854.83984375,0,0,0,29554.53125
25,14,0,0,1,0,16065.98828125,15217.7421875,0,0,0,18471.58203125
22,13,1,0,1,0,15403.755859375,14320.7900390625,0,0,0,18660.73046875
40,11,0,0,1,1,28409.369140625,12532.2578125,0,0,0,13299.5390625
44,17,0,0,1,0,37226.0703125,32075.419921875,0,0,0,37386.48046875
50,11,1,0,0,1,10188.1865234375,17903.2265625,0,0,0,14777.265625
25,11,1,0,0,1,0.0,0.0,1,1,1,485.229797363281
53,14,1,0,1,0,7641.140625,8421.677734375,0,0,0,8127.49609375
28,15,1,0,0,0,0.0,0.0,1,1,1,9598.541015625
28,12,0,0,1,0,11755.6005859375,12532.2578125,0,0,0,0.0
45,9,1,0,1,1,0.0,0.0,1,1,0,0.0
26,10,0,0,0,1,12000.5087890625,14322.5810546875,0,0,0,17732.71875
29,10,1,0,1,1,8464.0322265625,8325.0,0,0,0,23643.625
28,12,0,0,1,0,23511.201171875,22379.03125,0,0,0,29554.53125
32,12,1,0,1,0,18613.03515625,16112.9033203125,0,0,0,17732.71875
26,12,0,0,1,0,25078.615234375,23274.193359375,0,0,0,26599.078125
46,10,0,0,1,1,20944.5625,21338.85546875,0,0,0,21131.490234375
36,8,0,1,1,1,19592.66796875,11995.1611328125,0,0,0,16993.85546875
43,11,1,0,1,1,17633.400390625,14322.5810546875,0,0,0,17732.71875
48,16,0,0,1,0,48981.671875,50129.03125,0,0,0,48764.9765625
25,14,0,1,1,0,15674.1337890625,14322.5810546875,0,0,0,20702.94921875
49,8,0,0,0,1,21551.935546875,36316.6953125,0,0,0,44331.796875
31,16,0,0,1,0,19592.66796875,17903.2265625,0,0,0,17732.71875
21,14,0,0,1,0,4898.1669921875,7161.29052734375,0,0,0,17141.62890625
27,16,0,0,1,0,0.0,0.0,1,1,0,0.0
50,11,0,0,1,1,36205.2890625,38563.546875,0,0,0,31032.2578125
46,8,0,0,1,1,0.0,8951.61328125,1,0,0,0.0
48,17,0,0,1,0,0.0,0.0,1,1,0,0.0
26,12,1,0,1,0,15674.1337890625,15217.7421875,0,0,0,15516.12890625
27,16,0,0,0,0,7837.0673828125,0.0,0,1,0,0.0
24,12,0,0,1,0,13714.8681640625,16112.9033203125,0,0,0,16254.9921875
29,16,0,0,1,0,0.0,0.0,1,1,0,8396.4423828125
49,17,0,0,1,0,30956.4140625,31867.7421875,0,0,0,35465.4375
34,11,0,0,1,1,15184.318359375,0.0,0,1,0,19210.4453125
52,5,0,0,1,1,13714.8681640625,14322.5810546875,0,0,0,14777.265625
20,7,1,0,1,1,19592.66796875,11637.0966796875,0,0,0,14777.265625
23,12,1,0,1,0,7837.0673828125,12532.2578125,0,0,0,21870.353515625
25,12,0,0,1,0,28017.515625,31062.09765625,0,0,0,28076.8046875
24,16,0,0,1,0,14694.5009765625,16470.96875,0,0,0,27337.94140625
48,6,0,1,1,1,38670.05078125,42967.7421875,0,0,0,36943.1640625
41,8,1,0,1,1,36691.1875,32888.2265625,0,0,0,42262.98046875
19,10,1,0,0,1,4702.240234375,3437.41943359375,0,0,0,2364.36254882812
47,16,0,0,1,0,68574.3359375,71612.90625,0,0,0,73886.328125
20,12,0,0,1,0,22531.568359375,23274.193359375,0,0,0,24382.48828125
38,12,0,0,0,0,0.0,0.0,1,1,1,4941.84912109375
39,7,0,0,1,1,21712.595703125,24065.515625,0,0,0,23643.625
32,16,0,0,1,0,27625.662109375,29540.322265625,0,0,0,33987.7109375
52,17,0,0,1,0,63676.171875,60870.96875,0,0,0,59109.0625
35,16,0,0,1,0,34091.2421875,26854.83984375,0,0,0,31032.2578125
23,10,1,0,0,1,1469.45007324219,5370.9677734375,0,0,0,0.0
27,12,0,0,1,0,8816.7001953125,44758.06640625,0,0,0,0.0
25,12,1,0,1,0,9796.333984375,21483.87109375,0,0,0,6649.76953125
26,14,0,0,1,0,5877.80029296875,13427.4189453125,0,0,0,31032.2578125
29,16,0,0,1,0,4800.20361328125,17187.09765625,0,0,0,23643.625
39,11,1,0,1,1,9992.2607421875,11637.0966796875,0,0,0,7260.07080078125
47,12,0,0,1,0,32915.68359375,27750.0,0,0,0,18914.900390625
47,7,0,0,1,1,24784.724609375,23811.2890625,0,0,0,25860.21484375
27,12,0,0,1,0,13910.7939453125,14859.6767578125,0,0,0,15072.810546875
48,16,0,0,1,0,23511.201171875,23274.193359375,0,0,0,39898.6171875
35,10,1,0,0,1,0.0,0.0,1,1,1,4666.23583984375
23,15,0,0,1,0,16955.494140625,20844.7265625,0,0,0,25514.427734375
53,7,0,0,1,1,19592.66796875,19693.548828125,0,0,0,22165.8984375
39,12,0,0,0,0,23511.201171875,31509.677734375,0,0,0,15516.12890625
50,17,0,0,0,0,0.0,0.0,1,1,0,0.0
23,12,1,0,1,0,3918.53369140625,11637.0966796875,0,0,0,9752.9951171875
37,15,0,1,1,0,45063.13671875,39387.09765625,0,0,0,45809.5234375
50,6,1,0,1,1,13033.04296875,4092.67749023438,0,0,0,0.0
49,11,0,0,1,1,25470.46875,19693.548828125,0,0,0,481.738861083984
36,11,1,0,0,1,29389.001953125,25982.951171875,0,0,0,45809.5234375
23,11,1,0,1,1,17116.154296875,10741.9345703125,0,0,0,8866.359375
33,12,0,0,1,0,0.0,0.0,1,1,1,12418.0703125
41,11,0,0,1,1,0.0,0.0,1,1,0,14481.7197265625
54,15,0,0,1,0,48981.671875,35806.453125,0,0,0,88663.59375
27,12,1,0,1,0,14694.5009765625,13427.4189453125,0,0,0,14079.779296875
42,13,0,0,1,0,0.0,0.0,1,1,0,0.0
26,16,0,0,1,0,32327.90234375,27750.0,0,0,0,32509.984375
24,16,0,0,0,0,4898.1669921875,8951.61328125,0,0,0,17732.71875
45,12,0,0,1,0,31348.26953125,27391.935546875,0,0,0,25564.669921875
44,12,1,0,1,0,18613.03515625,23632.2578125,0,0,0,19210.4453125
23,10,1,0,0,1,3918.53369140625,7161.29052734375,0,0,0,6649.76953125
24,10,1,0,1,1,9012.626953125,6624.193359375,0,0,0,8955.0234375
24,12,0,1,1,0,23511.201171875,21483.87109375,0,0,0,23052.53515625
23,11,1,0,0,1,0.0,0.0,1,1,0,0.0
22,12,0,0,1,0,15478.2080078125,8951.61328125,0,0,0,14186.1748046875
21,12,1,0,0,0,0.0,0.0,1,1,1,1254.58203125
28,14,1,0,1,0,17633.400390625,12532.2578125,0,0,0,16254.9921875
29,12,0,0,1,0,10775.966796875,12532.2578125,0,0,0,25860.21484375
51,8,0,0,1,1,11986.7939453125,1546.83874511719,0,0,0,0.0
49,12,0,0,1,0,25862.322265625,28645.16015625,0,0,0,26599.078125
23,14,0,0,0,0,22139.71484375,18798.38671875,0,0,0,41376.34375
28,14,0,0,1,0,19984.521484375,12532.2578125,0,0,0,31032.2578125
23,12,1,0,1,0,3918.53369140625,2864.51611328125,0,0,0,8866.359375
28,12,0,0,1,0,13714.8681640625,13606.4521484375,0,0,0,19210.4453125
43,14,0,0,1,0,2645.01025390625,0.0,0,1,0,6992.60205078125
25,12,1,0,1,0,19592.66796875,5370.9677734375,0,0,0,24642.568359375
30,12,0,0,1,0,25470.46875,25959.677734375,0,0,0,28076.8046875
24,14,0,0,1,0,20141.263671875,0.0,0,1,0,0.0
18,12,0,0,0,0,8816.7001953125,14322.5810546875,0,0,0,22165.8984375
39,12,0,0,1,0,26450.1015625,27750.0,0,0,0,6354.22412109375
30,9,0,0,1,1,15478.2080078125,7877.41943359375,0,0,0,8866.359375
22,14,0,0,1,0,30368.634765625,20588.7109375,0,0,0,27485.71484375
55,12,0,0,1,0,23511.201171875,26854.83984375,0,0,0,26599.078125
33,11,1,0,1,1,6857.43359375,11637.0966796875,0,0,0,0.0
37,14,0,0,1,0,30368.634765625,44758.06640625,0,0,0,81274.9609375
24,10,1,0,1,1,14482.900390625,10741.9345703125,0,0,0,11821.8134765625
51,12,1,0,1,0,23511.201171875,25601.61328125,0,0,0,25121.3515625
45,12,0,0,1,0,35266.80078125,38366.61328125,0,0,0,38420.890625
32,16,0,0,1,0,23511.201171875,25959.677734375,0,0,0,35465.4375
44,10,1,0,1,1,20993.544921875,19190.46875,0,0,0,25068.154296875
22,11,1,0,0,1,0.0,0.0,1,1,1,6456.69677734375
33,12,0,0,1,0,22531.568359375,26496.7734375,0,0,0,24973.578125
30,12,0,0,0,0,16457.841796875,14680.64453125,0,0,0,15146.697265625
34,16,0,0,1,0,48981.671875,62661.2890625,0,0,0,54675.8828125
31,11,1,0,0,1,15674.1337890625,4316.4677734375,0,0,0,7093.08740234375
29,10,1,0,1,1,7641.140625,8122.693359375,0,0,0,5910.90625
20,11,1,0,0,1,16318.6201171875,1484.99401855469,0,0,1,6943.341796875
34,12,0,0,1,0,21943.787109375,20409.677734375,0,0,0,21131.490234375
43,12,0,0,1,0,18808.9609375,17903.2265625,0,0,0,26155.759765625
23,14,0,0,1,0,18722.75390625,21662.90234375,0,0,0,28076.8046875
25,12,0,0,1,0,16653.767578125,12181.35546875,0,0,0,17732.71875
36,17,0,0,1,0,29389.001953125,34911.2890625,0,0,0,32509.984375
28,12,0,0,1,0,23511.201171875,21483.87109375,0,0,0,23643.625
19,12,0,0,1,0,9796.333984375,9846.7744140625,0,0,0,20688.171875
